70, -352, -16494 
106, -378, -16122 
94, -332, -16450 
56, -320, -16430 
46, -322, -16394 
112, -370, -16426 
46, -360, -16400 
-276, -336, -16126 
38, -346, -16126 
64, -332, -16120 
118, -308, -16112 
66, -332, -16102 
98, -368, -16416 
82, -334, -16112 
122, -154, -16416 
62, -374, -16110 
-118, -130, -16124 
106, -384, -16386 
80, -342, -16112 
74, -136, -16386 
54, -356, -16420 
90, -342, -16402 
126, -370, -16060 
84, -376, -16122 
48, -350, -16450 
-126, -348, -16486 
2, -382, -16402 
66, -298, -16114 
82, -304, -16080 
88, -310, -16060 
60, -378, -16068 
122, -320, -16420 
92, -348, -16396 
90, -358, -16114 
94, -380, -16434 
76, -328, -16092 
32, -336, -16434 
48, -278, -16454 
86, -166, -16436 
42, -324, -16404 
80, -324, -16482 
94, -132, -16104 
60, -346, -16116 
124, -356, -16064 
50, -358, -16388 
2, -318, -16418 
86, -340, -16068 
106, -338, -16396 
78, -354, -16482 
-278, -378, -16436 
-110, -366, -16390 
94, -160, -16432 
110, -364, -16456 
46, -362, -16396 
58, -178, -16400 
106, -376, -16102 
0, -168, -16112 
36, -346, -16088 
44, -176, -16446 
84, -144, -16422 
48, -312, -16392 
18, -344, -16456 
116, -378, -16078 
80, -384, -16420 
-112, -146, -16392 
58, -330, -16070 
38, -140, -16402 
100, -372, -16036 
70, -378, -16448 
94, -334, -16026 
110, -350, -16044 
84, -174, -16386 
34, -298, -16476 
112, -340, -16394 
16, -348, -16088 
40, -330, -16128 
98, -132, -16124 
44, -352, -16480 
34, -314, -16040 
68, -324, -16090 
98, -368, -16120 
86, -380, -16112 
114, -310, -16084 
52, -358, -16472 
70, -332, -16406 
116, -338, -16120 
64, -134, -16408 
84, -336, -16464 
102, -168, -16126 
94, -348, -16244 
90, -320, -16442 
82, -380, -16058 
116, -354, -16108 
92, -180, -16390 
96, -374, -16074 
68, -292, -16406 
90, -318, -16104 
66, -140, -16402 
96, -314, -16128 
120, -352, -16476 
66, -342, -16418 
26, -142, -16094 
72, -336, -16060 
66, -324, -16474 
50, -366, -16050 
30, -342, -16470 
18, -364, -16072 
38, -330, -16116 
70, -326, -16120 
92, -322, -16402 
46, -368, -16442 
98, -300, -16442 
70, -156, -16492 
98, -358, -16404 
80, -320, -16470 
82, -346, -16440 
92, -150, -16106 
78, -348, -16250 
64, -262, -16028 
72, -376, -16080 
42, -372, -16398 
46, -294, -16090 
-272, -366, -16118 
30, -356, -16416 
66, -280, -16418 
76, -130, -16046 
32, -382, -16450 
92, -374, -16386 
62, -176, -16074 
76, -344, -16436 
72, -134, -16126 
76, -318, -16420 
68, -358, -16084 
26, -338, -16470 
114, -320, -16444 
12, -346, -16446 
78, -380, -16394 
88, -282, -16054 
-120, -310, -16088 
22, -340, -16406 
82, -374, -16416 
80, -294, -16400 
122, -330, -16410 
32, -282, -16404 
48, -372, -16122 
98, -370, -16036 
38, -350, -16450 
122, -358, -16098 
78, -292, -16070 
56, -316, -16076 
52, -340, -16408 
126, -316, -16400 
118, -322, -16496 
52, -130, -16280 
90, -150, -16084 
116, -318, -16448 
66, -142, -16412 
-1744, -1906, -16220 
4120, 8044, -6790 
1662, -1890, -20434 
3790, -5056, -20776 
6740, -5768, -21244 
3736, -4634, -12886 
-3928, -5132, -7128 
-2102, -8830, -9118 
-11056, 1902, -5902 
-10512, -464, -8352 
-8892, -4224, -9916 
-8858, 1218, -13462 
-2820, 4096, -15838 
-1708, 1554, -20246 
276, 9108, -30910 
5284, 11544, -32768 
10278, 8150, -32768 
8580, 2378, -19362 
6144, -3400, 736 
-190, 3166, 12770 
-2514, 4426, 9894 
4246, -2322, -4066 
13316, 1226, -26194 
12990, 3300, -32768 
12618, 4832, -30028 
8248, 2528, -16602 
8220, 3954, -13140 
8650, 4318, -11800 
7284, 240, -12222 
5446, 564, -12198 
5404, -958, -13698 
5660, 1472, -17014 
4700, 356, -17124 
5070, 238, -16060 
6140, -520, -19880 
3828, 28, -22232 
3590, 1000, -23870 
3446, 184, -26422 
1480, -1144, -25312 
934, 16, -19542 
870, -2130, 6820 
-4376, 1732, 9964 
-1254, -720, 2290 
630, -2556, -4218 
7662, 544, -6510 
14592, -3670, -28838 
7722, 752, -27724 
4282, 112, -20452 
5628, -1078, -16900 
6342, 282, -14190 
6352, 878, -12606 
6248, 820, -12130 
5860, 118, -14070 
5706, -872, -16700 
4060, -1114, -19546 
5938, 312, -15370 
6068, 610, -13760 
5938, -364, -15162 
5376, -924, -16470 
5664, -1310, -16236 
5888, -1400, -18384 
2968, 560, -29710 
6512, 548, -27384 
684, 2658, -32768 
10024, -672, -8762 
3638, -2174, 5636 
-1766, 3248, 8616 
4116, 1962, 3614 
15540, 2966, -16310 
10614, 652, -32768 
7222, -1236, -32768 
7262, 1528, -27996 
8316, 3118, -26142 
7128, 4934, -25562 
7330, 4696, -23408 
4564, -124, 5898 
-2328, 2574, 12306 
392, -2766, 666 
2560, 656, -7992 
9180, -2794, -24160 
8052, 2208, -32768 
4210, 562, -31118 
4788, 260, -25146 
3274, -322, -20870 
3818, -10, -17826 
